median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
73700,1.7262,18,1451,278,695,254,40.58,-123.18
189600,2.8594,22,3626,824,1800,769,32.76,-117.01
185300,3.338,19,2164,410,1309,426,36.8,-121.69
298300,4.119,52,4265,912,1555,836,37.76,-122.4
158000,2.3804,40,1301,342,954,336,33.86,-118.17
120800,2.775,31,418,82,327,81,39.1,-123.16
217000,3.9375,51,1941,378,1012,371,34.14,-118.2
183600,3.9615,34,1237,242,671,221,34.19,-118.56
208600,3.9227,24,6303,1277,3728,1252,33.84,-118.27
86900,2.1574,35,3623,841,2721,766,33.92,-117.28
135000,2.8958,21,446,73,182,57,38,-121.25
59500,1.6575,35,1576,405,870,282,35.32,-118.99
169300,4.2259,3,20214,3559,8361,3112,38.77,-121.33
139800,2.0785,36,1356,314,1469,300,33.92,-118.19
201800,5.3288,10,4976,849,2089,803,38.07,-122.18
93900,3.1406,33,3656,681,1698,671,37.97,-121.35
500001,6.4209,52,3785,808,1371,799,37.79,-122.44
75000,1.3036,52,201,35,74,22,37.64,-121.01
49400,1.6981,29,1244,266,933,227,35.36,-118.98
162500,2.0938,16,994,392,800,362,37.8,-122.27
93900,3.8611,32,965,183,568,188,38.7,-121.46
235000,4.3897,36,1837,319,810,305,33.8,-118.11
100200,2.5575,12,2721,549,1294,523,35.32,-119.03
358800,5.8777,27,2489,481,1082,443,33.63,-117.95
275400,5.37,26,3266,491,1222,533,37.76,-122.13
63000,1.6875,19,2307,525,1266,437,33.92,-116.77
271800,6.0712,22,2614,453,1240,462,37.23,-121.91
262800,4.5795,28,3085,552,1277,512,37.31,-121.88
152800,3.6875,38,2492,381,1003,369,34.04,-117.18
333300,1.3157,43,2732,1646,3049,1429,34.1,-118.33
500001,5.549,49,2016,299,691,288,37.56,-122.32
192800,5.2297,27,2358,415,1562,383,37.35,-121.8
146400,2.1979,16,2035,370,704,330,34.77,-118.19
413100,6.8742,25,4921,866,1913,834,37.88,-122.53
125400,4.1837,22,2756,516,1849,486,32.7,-117.02
100100,2.7333,44,3514,714,1509,656,38.55,-121.43
235000,3.5625,18,133,29,95,23,33.86,-117.81
348100,3.287,31,2621,707,1632,673,34.04,-118.46
215700,4.0893,35,1928,360,1056,366,33.94,-117.97
194300,3.9461,16,2650,600,1969,586,37.25,-121.82
84600,2.425,18,3578,720,1540,640,36.3,-119.26
307000,3.3462,34,1430,357,805,362,34.02,-118.41
92400,2.5952,19,2043,421,1018,390,39.1,-121.48
128000,3.2024,40,2434,477,1646,453,33.93,-118.3
450000,3.5649,23,3200,907,2029,866,37.38,-122.05
167800,5.4288,6,3123,495,1513,480,32.83,-116.83
142800,1.7679,36,931,246,732,235,34.01,-118.16
147900,4.0491,36,2211,384,868,329,32.79,-117.02
140400,1.4282,18,4037,990,2722,834,37.73,-122.38
55500,0.78,10,1051,297,927,274,36.33,-119.28
189000,3.9722,34,2610,466,1543,433,34.16,-119.19
500001,4.0429,32,2242,490,921,461,34.02,-118.44
187500,0.9318,35,1511,593,914,539,33.78,-118.19
278000,5.7382,17,1785,255,667,277,33.04,-117.06
103600,1.8112,29,4174,1195,3675,1124,32.69,-117.1
154800,3.7083,10,6331,1181,3419,1110,38.46,-121.82
268100,4.3611,44,2082,470,1154,403,37.74,-122.5
331800,4.3438,39,303,69,131,73,33.98,-118.37
84700,1.8417,13,520,115,249,109,38.92,-122.62
48800,1.375,16,241,84,152,61,40.51,-123.21
179800,3.244,38,890,200,481,198,37.71,-122.17
164800,6.1324,20,707,114,282,86,37.54,-120.82
134400,4.4628,26,1933,316,1001,319,34.65,-120.48
153400,2.1383,31,957,295,1300,287,34.06,-118.04
66300,3.0208,12,549,109,209,90,33.94,-116.71
500001,8.5759,32,2390,336,810,354,37.98,-122.53
189800,4.1382,15,2642,520,1032,475,38.66,-121.27
189700,3.8651,18,4486,723,1600,697,38.35,-122.01
105200,3.2375,39,1756,320,1055,322,33.88,-118.26
500001,15.0001,32,2297,287,814,283,37.4,-122.22
166500,4.375,16,4241,892,1771,864,32.82,-117.11
316100,5.133,13,2319,430,1004,380,33.6,-117.65
500001,8.8666,25,4440,693,1560,636,34.06,-118.58
78600,2.2768,14,2633,530,1324,513,40.46,-122.27
142600,2.0807,13,3813,871,1513,783,38.78,-121.23
394600,5.9683,34,2395,469,1087,438,33.87,-118.39
229300,3.4233,29,3377,853,1674,792,37.34,-121.94
118800,2.5417,33,560,90,310,113,36.61,-119.26
216700,2.7865,17,1600,458,1803,432,33.71,-117.99
100000,4.5625,40,198,41,151,48,39.05,-121.48
134200,4.0931,32,5211,949,3025,948,32.85,-116.99
273100,6.0302,16,1584,264,613,226,38.73,-121.18
245000,5.98,22,14701,2210,6693,2232,37.66,-121.79
321300,3.4583,52,2189,433,1147,420,37.74,-122.49
223600,4.3882,52,1994,404,1014,389,37.31,-121.89
165600,1.9688,28,1617,507,1158,486,33.98,-118.04
112500,12.5381,29,124,22,50,18,33.96,-117.44
240200,5.7512,26,1977,264,817,273,37.97,-121.97
187500,3.5039,46,945,250,910,252,34.08,-118.26
430300,5.6396,19,7976,1406,3437,1338,37.56,-122.25
103600,2.5495,15,6365,1646,3838,1458,38,-121.83
47500,2.0227,20,1367,284,429,181,41.82,-120.48
90000,2.85,38,180,43,246,56,33.93,-118.25
168800,4.7961,4,1380,322,755,286,33.12,-117.29
81900,2.3947,40,2190,496,1214,493,34.14,-117.28
145700,3.1667,44,1613,345,1227,342,33.93,-118.19
234900,5.3889,33,2389,410,1229,393,33.86,-118.11
216700,1.8942,45,350,66,225,72,38.17,-122.23
500001,6.358,26,3281,531,1145,480,37.58,-122.4
140900,3.5104,30,1246,373,1990,369,34.26,-118.43
181300,5.2077,7,586,118,232,107,33.77,-118.02
255400,2.4375,12,3831,1083,2258,967,34.2,-118.48
113200,1.4464,35,2501,651,1182,591,34.07,-117.65
222400,5.4091,22,4337,673,2347,636,34.26,-118.74
191800,3.5541,14,4026,769,1825,671,34.33,-119.11
500001,10.9052,23,4960,592,1929,586,34.26,-118.54
135100,3.2333,39,1986,427,1041,385,37.95,-122.34
78600,1.5908,26,3165,806,2447,752,38.49,-121.48
375700,7.5847,5,4050,584,1986,598,33.71,-117.77
212200,2.5114,32,1978,536,826,470,34.11,-118.01
54800,1.5727,16,1461,400,1201,384,36.1,-119.57
192500,2.2545,18,4297,1420,4332,1286,34.07,-118.25
276100,6.6355,19,1983,283,1098,275,33.75,-117.95
310800,5.0782,52,1029,205,461,212,37.73,-122.43
103400,2.7298,25,1880,339,1003,315,36.09,-119.08
165600,2.6368,34,2123,387,1310,368,37.72,-121.22
224000,3.0125,40,855,208,745,222,34.09,-118.09
440900,5.3819,52,1368,322,617,303,34.06,-118.35
349300,3.2112,38,2347,665,1317,547,34.16,-118.31
226000,5.0255,45,1544,244,614,238,37.93,-122.07
111800,3.332,16,4199,794,2140,722,37.02,-119.57
198200,3.4167,35,1760,447,984,384,34.15,-118.12
158700,4.1739,36,2637,476,1385,483,34.09,-117.71
500001,4.801,26,6577,1789,2937,1652,34.06,-118.47
245600,6.0094,30,2399,373,1062,377,34.19,-118.64
84400,1.4091,38,855,172,468,150,40.57,-122.39
500001,7.6771,52,1311,217,578,205,34.06,-118.38
211700,3.0259,26,3149,832,1320,808,32.74,-117.15
146400,4.5701,5,3096,545,1760,519,37.65,-121.05
103100,1.1957,19,1393,367,915,355,37.74,-121.42
110900,3.7807,9,4303,900,2240,861,34.68,-118.16
157800,4.2348,25,6508,1137,3259,1081,37.99,-122.31
99000,1.6652,34,2771,802,2782,715,33.97,-118.28
336700,5.4446,37,1643,262,620,266,37.81,-122.18
341300,4.3897,3,5813,1264,2363,1041,33.44,-117.59
221100,2.6023,14,2364,631,1300,625,38.46,-122.66
90200,2.7639,17,1661,329,948,357,40.93,-124.11
500001,10.2666,24,2411,299,847,299,37.26,-122.02
136800,4.8646,29,1061,202,759,206,32.58,-117.1
249200,4.8359,25,7060,1159,3903,1139,33.68,-117.9
73800,3.2721,11,1479,341,1476,327,37.39,-120.71
500001,6.4018,42,718,140,324,131,34.12,-118.58
106300,2.9097,16,2913,723,1705,693,37.96,-122.04
67500,2.3851,21,1155,210,510,175,39.68,-122.38
250000,2.1429,43,2364,792,1359,722,37.8,-122.25
186800,5.0818,35,1790,334,1277,345,34.22,-118.39
295200,4.2273,13,4770,718,1985,662,33.81,-117.43
83700,3.5296,7,3433,626,1793,626,36.34,-119.27
233900,6.2464,4,3134,504,1599,485,33.65,-117.6
113200,3.7625,10,1604,352,540,190,38.94,-120.72
500001,9.267,33,2996,398,1048,387,33.75,-118.32
265100,3.3632,33,2577,590,1867,566,37.6,-122.38
277500,4.6315,16,5819,986,2306,914,33.92,-117.8
116900,2.6629,37,1042,205,589,208,32.74,-117.07
500001,9.8413,32,10626,1504,4353,1482,34.22,-118.19
87500,1.6607,18,164,30,104,32,37.37,-120.67
260300,4.5714,18,7241,1225,4168,1138,37,-121.57
91200,1.6368,28,3072,790,1375,705,38.13,-122.26
225000,2.2262,4,1649,456,1030,411,33.65,-117.84
261900,3.5089,36,1526,256,696,263,37.93,-122.31
154900,1.5313,20,1634,374,1053,390,39.23,-121.05
208000,2.5658,14,3732,846,1277,775,38.29,-122.47
296400,6.2552,20,3425,448,1489,443,32.78,-116.95
149200,2.2326,42,2076,462,1641,436,34.19,-118.16
500001,11.2093,42,777,102,284,113,34.17,-118.43
224400,5.6605,17,1704,263,781,281,33.16,-117.31
86100,1.4529,25,2383,576,1234,583,37.49,-120.84
166000,2.9583,52,2378,508,940,451,38.02,-122.13
143800,2.1859,38,483,113,389,108,33.89,-118.16
283600,4.3523,42,1576,313,697,282,34.1,-118.06
187500,1.625,52,403,117,361,105,34.14,-118.15
84400,0.8056,48,1455,354,788,332,37.81,-122.3
163400,4.875,5,9076,1503,7694,1278,34.69,-118.2
137100,3.9414,18,8136,1584,4976,1516,33.87,-117.55
311400,3.5865,52,2910,611,1508,515,37.78,-122.48
121900,3.1771,15,989,184,406,151,37.5,-119.8
139700,4.337,26,3135,524,1385,523,37.37,-118.45
145900,4.5604,4,14418,2282,6578,2140,38.47,-121.38
223600,4.7,36,2396,421,1064,398,34.21,-118.51
404700,4.1856,52,2042,378,1153,408,37.78,-122.47
202800,2.92,33,1266,415,1991,334,37.47,-122.21
82500,0.4999,52,178,53,152,62,37.65,-121.01
251900,4.6992,36,1759,295,837,267,33.97,-118.13
143500,3.6531,18,3679,694,1820,652,33.79,-118
333900,4.569,40,1134,184,452,187,34.16,-118.43
377200,5.9544,44,2825,453,1221,461,33.97,-118.4
66800,1.5625,22,1665,405,826,382,40.59,-124.14
230000,3.6429,52,2058,399,1208,399,37.74,-122.41
95200,2.76,26,3042,598,1720,551,34.01,-117.45
296400,3.25,52,900,183,371,166,37.55,-122.31
111300,2.625,47,881,248,753,241,37.78,-122.21
200000,2.5812,36,1390,458,874,468,34.09,-118.36
75500,2.1528,31,887,217,614,199,37.66,-121.03
73200,1.9472,40,2277,498,1391,453,33.93,-116.98
252200,3.2617,10,3937,1054,2032,1002,37.45,-121.92
73800,2.7305,16,1579,327,934,298,34.9,-117.16
500001,7.6447,45,1271,190,419,171,34.06,-118.47
236900,3.9265,39,1030,191,537,175,37.27,-121.94
284900,4.05,45,1718,293,757,329,32.74,-117.24
129700,3.15,26,3827,814,3367,810,34.04,-117.73
402400,6.7546,36,1760,283,562,246,37.9,-122.56
183800,4.2312,22,3936,860,3508,877,37.36,-121.83
264000,3.0977,24,4631,1164,2360,1083,34.24,-118.54
331400,6.6053,52,1484,224,498,223,32.77,-117.11
220100,3.141,21,2253,416,1050,411,38.73,-121.36
81800,2.3906,27,1170,227,660,222,37.59,-120.69
500001,3.5985,36,2916,785,1183,749,33.76,-118.15
89800,1.4886,11,1976,548,1528,512,32.75,-117.1
264700,2.7317,33,2394,576,1166,548,33.94,-118.12
98600,2.3844,13,2832,542,1065,531,33.22,-117.28
165000,3.1042,18,224,38,95,41,38.53,-121.28
142600,3.2639,50,1183,246,851,231,34.03,-118.19
169000,3.4792,34,1748,386,917,378,33.94,-118.03
500001,6.6265,30,1891,364,635,314,33.6,-117.86
162500,2.2538,7,1479,532,1057,459,34.95,-120.45
90400,3.9853,24,2159,369,1141,355,38.7,-121.45
262100,4.4286,35,1481,277,747,254,37.62,-122.54
115400,2.5938,40,930,258,1203,244,33.94,-118.22
55800,1.0208,29,1303,308,861,263,38.55,-121.47
500001,6.6368,42,1467,203,577,204,34.05,-118.39
234400,5.3735,36,2000,343,956,352,33.83,-118.1
112300,2.3814,28,2758,623,2179,631,32.67,-117.07
212500,1.5536,20,1451,386,467,255,38.96,-119.94
165200,5.0164,13,3995,605,1969,607,37.98,-121.82
136900,4.1518,22,2101,399,1551,371,32.58,-117.05
236800,6.5958,17,1781,262,860,256,34.02,-117.72
98900,1.7986,40,1076,244,705,255,33.92,-118.26
348700,7.508,52,2814,365,878,352,37.81,-122.23
149500,3.2303,17,2277,459,1149,476,39.17,-121.02
156800,4.2353,31,1130,276,1533,269,34.27,-118.43
106300,2.5473,16,2717,621,3343,643,38.02,-121.3
283300,3.2417,36,1271,346,811,345,33.88,-118.33
175000,2.3958,39,277,89,182,91,34.14,-118.23
436400,6.3131,17,3674,824,1364,694,37.33,-122.05
95500,2.4485,34,1700,325,972,326,37.65,-120.96
266000,4.4732,36,1933,341,958,335,33.96,-118.13
168800,5.3644,36,1570,274,992,249,37.63,-122.09
135800,3.225,44,1938,399,946,331,37.75,-122.15
67000,2.1607,34,1592,364,950,317,40.78,-124.18
137500,3.1563,42,198,32,158,32,37.36,-121.92
369200,3.7036,52,2342,458,1170,458,37.77,-122.49
431800,5.9771,37,1376,237,618,226,34.22,-118.23
183300,2.1935,15,2782,579,983,525,33.49,-117.67
167200,3.0444,36,2175,516,1087,477,38.46,-122.71
218200,5.5496,29,3855,585,2205,609,34.09,-117.86
58000,2.3977,11,658,131,376,120,33.97,-116.86
333000,5.1674,20,4304,851,2059,835,37.35,-122
247400,3.9922,32,614,95,227,107,37.96,-121.36
226300,3.4773,47,2289,481,1697,465,37.71,-122.41
164400,3.0288,40,1266,257,547,247,38.13,-121.73
108200,1.7132,38,1715,414,1714,389,34,-118.24
216600,7.2519,33,3974,548,1398,528,33.96,-117.37
171800,3.4028,14,1864,331,894,332,39.29,-121.06
193200,3.4833,15,2241,381,997,390,33.15,-117.13
138800,2.0433,34,572,154,752,182,34.08,-118.05
500001,7.1148,28,2370,352,832,347,33.63,-117.9
255200,4.5812,18,5915,1000,2975,975,36.8,-121.64
344200,6.4027,11,5827,882,2588,842,33.05,-117.24
435800,7.7364,24,2328,335,969,354,37.52,-122.31
196900,1.8929,30,1615,570,1245,544,34.14,-118.25
182900,2.3843,29,1444,326,1038,271,33.82,-117.91
158000,4.0611,10,4887,930,2637,831,34.02,-117.64
214300,3.256,25,1731,482,1127,455,33.81,-117.94
59700,2.6397,32,1338,276,859,286,36.34,-119.66
500001,11.0911,20,3370,433,1020,408,33.03,-117.21
224200,3.5125,38,2263,522,1027,509,37.9,-122.3
238200,3.101,29,3376,882,1513,843,32.8,-117.24
65000,2.0674,14,4985,1238,2517,954,34.2,-116.38
157700,3.0952,23,2628,499,1210,453,38.65,-121.32
234800,4.375,45,2317,448,1057,428,33.79,-118.13
95300,2.9107,7,732,145,431,132,34.06,-117.7
163900,3.3125,19,1861,364,1040,363,35.5,-120.66
63400,2.2431,41,1147,243,583,239,39.13,-121.62
168800,1.4375,52,1000,324,456,250,38.58,-121.49
374200,5.0756,52,3084,595,1324,571,37.58,-122.36
302000,6.3236,24,2983,406,1203,381,34.29,-118.71
144700,2.9624,16,7963,1881,3769,1804,32.77,-117.04
117200,3.125,12,1869,356,1007,323,33.66,-117.22
279900,5.3468,42,2533,433,957,398,37.16,-121.98
58000,2.4695,26,2276,460,1455,474,39.08,-121.54
377300,2.625,16,875,201,300,157,36.96,-121.99
110400,2.4583,26,1592,429,1182,365,34.06,-117.67
99600,3.6979,34,1565,296,1142,328,33.95,-117.46
118300,1.7589,28,1219,408,1816,348,33.79,-118.17
333300,4.7356,18,1479,246,550,217,38.31,-122.42
386400,3.3565,52,3708,849,1531,822,37.76,-122.43
221900,5.742,25,4650,849,2503,790,33.76,-118.03
53500,1.8571,39,2467,529,1433,502,39.91,-122.19
214700,2.1061,32,1273,344,1148,368,34.06,-118.11
75900,2.6694,18,1277,234,674,238,37.11,-120.27
109500,3.7841,26,1988,379,905,321,39.33,-120.2
46800,1.625,32,1361,363,1483,297,35.38,-118.97
286300,6.7813,4,4082,578,1996,580,34.15,-117.68
432400,12.5915,8,452,51,140,43,37.74,-121.92
135400,1.0333,18,796,227,547,218,34.04,-118.2
268300,5.1512,28,2388,437,1015,381,38.42,-122.89
70700,3.1736,39,2033,370,956,379,35.43,-119.02
213300,2.3438,42,1175,428,1593,407,34.07,-118.27
193800,4.7143,35,1184,200,572,194,37.65,-122.09
231500,4.1458,35,2144,423,1192,417,33.89,-118.31
242600,3.0727,31,4353,1117,2338,1037,34.14,-118.03
154600,2.2368,7,2221,548,1440,501,33.37,-117.26
63900,2.1515,6,1186,234,1135,218,36.72,-119.55
126500,3.5078,33,3260,673,1784,666,32.74,-117.08
106200,4.0529,17,2387,437,1204,423,35.34,-119.05
400000,3.2708,35,3259,967,2003,920,33.95,-118.38
62600,2.1434,20,1934,377,1341,336,35.87,-119.3
61600,1.6515,37,1199,351,782,296,34.9,-117.02
266700,3.0349,35,2705,785,1526,793,34.09,-118.35
140200,3.6875,27,2434,535,1623,498,34.11,-117.89
74300,2.4678,18,10862,2401,5466,2209,36.8,-119.74
350000,7.5385,37,3000,457,987,450,37.89,-122.25
350000,4.4531,25,347,82,148,77,37.39,-122.05
500001,9.3399,36,1543,214,474,187,33.88,-118.4
69000,2.442,30,2975,634,1367,583,40.77,-124.19
337000,7.6348,4,6423,1042,2607,983,32.98,-117.24
84700,2.7083,21,3057,698,1627,680,35.33,-119.03
142300,2.1377,30,2598,757,2869,769,34.16,-118.14
500001,4,48,1640,322,664,301,34.01,-118.46
164400,5.4138,2,3867,573,1275,433,34.12,-117.17
299300,6.7287,16,3992,540,2097,555,37.22,-121.77
114200,3,2,1937,350,756,274,40.58,-122.32
500001,9.5271,16,7681,946,2777,908,37.84,-122
324700,6.3443,39,1355,214,682,246,37.62,-122.42
340000,6.5,20,200,25,83,31,37.69,-122.03
190900,4.175,36,1544,308,891,286,34.2,-118.56
86400,2.207,21,2087,382,888,361,39.95,-122.23
89700,1.875,30,2483,573,1172,438,34.17,-117.3
185000,5.3209,26,934,148,519,162,34.44,-118.52
217800,2.8667,43,2230,583,1667,543,34.11,-118.25
194000,4.5461,33,1700,369,981,362,33.93,-117.97
82100,2.3937,20,4642,1300,658,247,35.82,-118.7
186100,5.766,30,4494,667,1883,680,32.64,-117.06
255500,4.9115,31,2982,547,1895,570,33.84,-117.99
121900,1.9205,40,1146,323,1354,321,34.05,-118.2
338200,5.5798,33,4769,787,2019,743,34.17,-118.63
161800,2.7708,33,1771,398,1037,388,36.62,-121.83
70700,2.2467,27,4049,947,2254,882,36.78,-119.74
263100,3.1373,23,4604,1319,2391,1227,34.15,-118.37
60900,1.3125,50,985,309,621,250,37.3,-120.49
265500,3.6946,17,3218,923,1701,824,33.89,-117.88
404000,6.5948,23,7995,1254,3484,1198,37.57,-122.26
172600,4.4671,28,3477,671,2990,648,37.35,-121.81
209400,3.6422,19,1199,251,730,276,33.82,-117.96
85000,3.0469,20,707,126,337,125,39.74,-122.16
92500,2.8616,47,1396,254,630,218,38.29,-121.54
120400,3.2061,20,3899,763,2198,779,38.26,-122.02
162500,0.4999,36,15,5,15,6,33.9,-118.04
147800,3.3906,36,1940,399,1076,382,32.58,-117.16
148500,1.6435,34,2299,579,1300,536,38.55,-121.74
450400,7.2731,4,15029,2279,5613,1696,33.02,-117.15
316000,4.7917,36,1727,340,952,337,37.56,-122.31
150800,3.7043,12,3449,598,1502,540,34.49,-117.89
120700,2.6623,32,3658,797,1452,715,38.63,-121.37
331400,7.0549,52,2375,333,813,350,37.82,-122.21
158000,2.3062,34,2384,604,2073,540,34.17,-118.14
50400,1.5433,11,1294,314,713,290,36.32,-119.65
500001,2.3182,24,2046,442,812,367,33.17,-117.36
101500,2.4798,36,866,160,502,149,37.79,-121.2
338700,6.1509,20,2110,335,1008,325,33.06,-117.29
302400,5.2405,21,5992,986,2647,969,34.02,-118.02
164700,5.6779,16,2919,462,1456,453,37.99,-121.83
340600,6.196,25,3344,502,1483,496,34.25,-119.03
170200,4.0962,33,1453,250,677,237,38.25,-122.62
63400,2.25,25,1332,247,726,226,39.06,-121.55
178900,3.4471,26,2335,413,980,417,38,-122.28
157500,4.0441,45,1818,408,1705,373,33.94,-118.2
56800,2.3256,24,2652,568,1532,445,36.32,-119.66
165000,5.3064,15,6809,1052,3060,1060,38.66,-121.79
59400,1.8369,17,2354,514,775,380,35.48,-118.23
419200,8.4693,26,4042,591,1611,578,37.52,-122.32
131400,2.5859,17,2961,634,1911,615,32.57,-117.07
162800,4.1705,11,1658,301,913,298,37.66,-121.04
123100,3.2422,33,1126,267,621,241,32.74,-117.11
354000,2.7717,25,2670,527,936,461,33.12,-117.32
269500,3.1603,52,2033,486,787,459,37.8,-122.23
64700,1.6854,18,5822,1439,3415,1224,36.79,-119.82
234900,4.4286,52,2657,500,1131,489,37.9,-122.29
146200,3.1392,8,1115,412,1472,396,33.8,-118.3
171400,3.65,18,3418,815,1961,773,33.84,-117.95
112500,1.5972,24,1017,227,568,187,34.07,-117.47
204400,6.4865,2,11008,1549,4098,1367,34.6,-118.16
212100,4.6458,46,1388,254,742,241,33.81,-118.2
210400,5.0123,5,4576,848,2314,705,33.14,-117.22
121400,3.7333,29,2320,422,1358,415,33.91,-117.45
87500,4.4231,16,744,141,311,122,37.88,-120.41
500001,10.0707,22,3479,448,1252,440,32.85,-117.24
170800,2.3125,7,1626,325,677,304,36.85,-121.42
126200,3.5278,25,2171,431,1053,422,38.55,-121.39
272900,2.6159,45,507,140,305,139,37.55,-122.31
125000,1.9107,36,26,14,58,23,32.68,-117.11
185200,2.9514,47,767,195,569,195,33.79,-118.2
173900,4.8125,15,826,138,440,134,33.87,-117.32
375700,6.1228,17,4199,629,2020,630,37.55,-122.28
99100,1.9348,37,1812,500,1640,447,33.96,-118.28
306600,4.7237,27,3800,728,1587,605,38.38,-122.58
249000,1.9464,52,831,175,415,159,37.74,-122.41
154300,4.1865,25,5187,934,2725,860,33.93,-117.55
93100,1.9038,39,967,256,903,256,33.91,-118.26
207200,5.1333,22,2823,509,1271,474,37.97,-121.99
193800,4.6864,35,2606,447,1555,404,34.29,-118.44
58300,1.8429,18,2581,628,2732,592,36.54,-119.29
236000,3.9909,14,5106,1207,2738,1108,37.54,-121.96
232000,5.0062,30,4412,862,2168,772,37.27,-121.91
345800,7.6473,17,3354,422,1457,425,37.8,-121.98
235900,2.6198,18,2375,652,1252,586,37.53,-121.96
80000,3.625,52,20,4,74,9,38.51,-121.47
315200,4.1587,32,2210,426,1082,396,37,-121.94
363600,6.8197,44,1877,314,877,320,33.96,-118.4
197200,3.7361,16,9653,2000,4732,1922,33.62,-117.7
126500,4.0227,19,3225,548,1760,542,36.77,-119.58
140800,2.3456,12,1893,493,1054,389,34.13,-117.37
192500,2.3147,38,2387,748,1537,741,34.28,-119.29
129700,2.4345,35,1878,454,991,409,32.74,-117.03
158000,3.525,39,1478,324,1127,320,33.93,-118.08
175000,3.9688,52,1700,317,996,329,34.18,-118.14
217800,3.495,49,1852,429,1615,447,37.71,-122.41
225800,4.4,44,822,180,480,177,33.88,-118.35
479500,6.435,40,1679,372,719,385,33.87,-118.4
231900,4.2167,52,982,197,653,171,37.72,-122.45
104200,1.8906,27,1492,393,717,254,38.94,-119.96
140600,3.0927,23,5759,1258,3108,1202,32.79,-116.93
154700,3.2371,33,1999,470,2170,466,33.92,-118.05
315900,5.777,23,3132,469,1646,478,33.85,-118.04
226500,2.2069,52,1526,458,1633,449,34.41,-119.7
67500,3.4432,16,1495,292,472,284,38.01,-122.53
211500,3.6449,32,3012,527,1288,512,37.97,-122.01
218100,2.6673,25,3208,1111,2843,1005,34.13,-118.26
425000,2.8528,25,3352,891,1815,860,34.17,-118.54
71300,1.875,33,399,87,71,27,34.3,-117.18
275000,3.4306,18,2539,616,964,526,32.79,-117.24
70500,3.474,24,2741,577,1551,522,34.89,-116.99
127600,2.3824,27,2616,591,1889,577,32.58,-117.1
187700,3.1458,21,4578,927,2818,900,33.12,-117.07
374100,3.9783,52,2946,695,1258,650,34.08,-118.37
145000,4.0625,23,1378,269,767,266,32.85,-116.92
500001,12.8665,37,4042,549,1318,542,34.07,-118.48
269800,6.2781,17,2559,370,1238,377,37.75,-121.94
272400,4.0217,46,2298,457,1429,477,37.75,-122.5
500001,8.0428,3,1170,148,493,142,34.16,-118.94
235100,3.8571,36,1514,258,665,278,32.79,-117.19
122300,1.875,15,2190,586,1570,510,36.61,-121.84
112900,3.0212,14,5827,1246,2578,1038,38.7,-121.28
159800,1.7135,42,1639,367,929,366,37.85,-122.27
284100,2.8203,8,1480,414,856,445,37.41,-122.09
476300,5.0203,47,2600,490,1149,465,37.43,-122.15
317900,4.9643,34,2479,491,1131,490,33.63,-117.92
252500,5.2131,27,6740,1073,2723,1035,37.71,-122.1
115000,2.4539,28,1499,574,3328,595,33.73,-117.85
162500,4.6629,25,1442,392,632,385,33.76,-118.19
81300,1.7292,17,290,94,135,57,33.33,-116.05
263700,4.988,4,9018,1572,4438,1498,32.95,-117.12
152000,3.9844,43,2039,331,875,342,37.66,-121
277600,6.5146,18,1376,225,670,205,34.22,-118.63
500001,6.3267,36,2723,547,1090,519,33.96,-118.45
203100,3.5481,44,1139,214,470,217,32.76,-117.09
115200,4.3833,14,2774,451,1292,428,39.15,-121.68
346200,2.4196,52,1118,279,514,284,37.78,-122.44
175700,4.5746,13,6711,1256,3683,1220,32.97,-117.04
151500,3.5521,17,1787,463,1671,448,34.22,-118.37
242100,3.8,26,1726,289,672,251,38.29,-122.49
279100,4.8304,27,2229,365,1297,355,37.77,-122.14
200000,2.5552,34,3279,714,1397,646,35.37,-120.84
224500,3.2794,42,1493,277,671,267,33.82,-118.12
199600,4.6556,23,4066,819,2105,737,34.11,-117.87
150000,2.2429,26,1855,553,1109,536,34.1,-117.66
162500,2.8417,22,1815,506,2428,473,34.36,-119.05
171900,3.9464,14,3676,720,1176,614,33.1,-117.25
72300,2.785,36,2507,466,1227,474,36.77,-119.76
238700,5.0092,17,3921,654,1895,641,36.82,-121.66
251800,2.473,44,1934,375,750,365,34.17,-118.33
87500,1.2813,42,900,239,506,231,38.56,-121.49
144400,4.175,18,4813,849,2333,843,38.4,-121.36
146100,2.5769,35,1612,354,887,331,37.95,-122.32
95800,1.7548,30,1484,414,1200,351,36.21,-121.13
109400,3,32,1175,208,774,222,37.4,-120.94
222000,4.9107,34,916,162,552,164,33.91,-118.13
283900,6.2924,39,3018,501,1223,489,37.89,-122.08
173400,6.0704,16,2509,366,1043,339,38.38,-122
81300,2.5259,30,1019,192,501,185,39.33,-121.8
171100,4.6944,26,3054,492,1495,496,38.01,-122.32
303400,6.3191,25,3308,421,1201,414,32.77,-116.95
160800,3.3661,45,1871,371,1315,382,33.94,-118.19
350000,10.2264,36,120,16,30,14,38.63,-121.28
230900,5.0824,23,4925,948,2530,894,37.52,-121.97
86500,2.6797,16,3741,801,2434,824,33.62,-114.6
64500,2.2337,23,1922,411,872,350,40.92,-121.63
500001,5.8142,28,2830,458,898,370,36.49,-121.88
213000,4.125,36,2340,392,1213,388,34.01,-117.73
97400,2.9821,35,1493,278,729,268,37.6,-120.95
105800,1.7237,36,1033,267,1112,229,34,-118.25
